iter	Logloss
0	0.69186726
1	0.6894619567
2	0.6875921212
3	0.6854095363
4	0.6851472602
5	0.6823185646
6	0.6778445561
7	0.6769915633
8	0.6750291376
9	0.6731733333
10	0.6728412374
11	0.6715329464
12	0.6697680758
13	0.6683412707
14	0.6661341056
15	0.6635433845
16	0.6635221443
17	0.6604260612
18	0.6582326377
19	0.6569902094
20	0.6550166837
21	0.6549890908
22	0.6537091778
23	0.6524686027
24	0.651724352
25	0.6517215873
26	0.6513740002
27	0.6512703093
28	0.6500828347
29	0.6483132632
30	0.646915058
31	0.6464512022
32	0.6458730994
33	0.6450782097
34	0.6442415226
35	0.6442414891
36	0.6442416191
37	0.6441700489
38	0.6424257719
39	0.6420576845
40	0.6413710607
41	0.6402267847
42	0.6391878341
43	0.6388171508
44	0.6373012425
45	0.6363016873
46	0.635351543
47	0.6346600174
48	0.6331316623
49	0.632468722
50	0.6321126894
51	0.6314616848
52	0.6314570636
53	0.6312586198
54	0.6304709117
55	0.6299903702
56	0.6276133919
57	0.6265684785
58	0.6263830341
59	0.6255953679
60	0.6252244251
61	0.6252243701
62	0.62468581
63	0.6233562688
64	0.6211350008
65	0.6208088836
66	0.6201805988
67	0.6196067791
68	0.6189552699
69	0.6184516888
70	0.6184517532
71	0.6180108489
72	0.6174869636
73	0.6173253845
74	0.6164394858
75	0.6157055522
76	0.6154002287
77	0.6140591934
78	0.6139728817
79	0.6136256898
80	0.6124515874
81	0.6124516308
82	0.6115417642
83	0.6108228369
84	0.6107782226
85	0.610321035
86	0.6094731339
87	0.6094733072
88	0.6084874141
89	0.6079814857
90	0.6067727066
91	0.6062774025
92	0.605440367
93	0.6045260899
94	0.6045261141
95	0.6040813188
96	0.6037674118
97	0.6033600081
98	0.6030551581
99	0.6019317993
100	0.6012243386
101	0.6004275985
102	0.5990965352
103	0.598940624
104	0.5980795496
105	0.5979673714
106	0.5969466233
107	0.5959190479
108	0.5946537553
109	0.5945999717
110	0.5936777647
111	0.5929778623
112	0.592572964
113	0.5916308228
114	0.5909891799
115	0.5909827598
116	0.5909617709
117	0.5909183569
118	0.5906025886
119	0.5901292269
120	0.5888626712
121	0.5888627049
122	0.5888627266
123	0.588248781
124	0.5870728102
125	0.5864756405
126	0.5856223478
127	0.5846873395
128	0.5846874391
129	0.584092419
130	0.5835909947
131	0.5830663479
132	0.5827860112
133	0.582525822
134	0.5818070636
135	0.5818070423
136	0.5817205593
137	0.5811613952
138	0.580647988
139	0.5803147124
140	0.579583672
141	0.5783612161
142	0.5774264826
143	0.5770060193
144	0.5765917254
145	0.575825465
146	0.5757957919
147	0.5749913494
148	0.5749914365
149	0.5749914043
150	0.5740715576
151	0.573763209
152	0.5731759675
153	0.5722448503
154	0.5716793711
155	0.5709507627
156	0.5701743105
157	0.5701568651
158	0.5696117303
159	0.5687421458
160	0.5686084691
161	0.5682373565
162	0.5682130519
163	0.5677463049
164	0.5672291521
165	0.5663994521
166	0.5658426544
167	0.5655548804
168	0.5649350479
169	0.5640197553
170	0.5633471259
171	0.5626387302
172	0.5618103748
173	0.5615771065
174	0.561577084
175	0.5609095016
176	0.5605221122
177	0.5602301809
178	0.5601201822
179	0.5600806875
180	0.5598300483
181	0.5589078335
182	0.5582557698
183	0.558096752
184	0.5574367831
185	0.5570129122
186	0.5561747913
187	0.5555491012
188	0.5550692277
189	0.5544751607
190	0.5544421208
191	0.5544357584
192	0.5540118619
193	0.5539951122
194	0.5539638905
195	0.5539609551
196	0.5539554034
197	0.5536330462
198	0.553075168
199	0.5525721869
200	0.5518715214
201	0.5516322376
202	0.5508807685
203	0.5502643357
204	0.5494813422
205	0.5490751394
206	0.5484962862
207	0.548494381
208	0.547655492
209	0.5468180674
210	0.5462456883
211	0.5454520313
212	0.5454520313
213	0.5453292431
214	0.545033297
215	0.5444843598
216	0.5444842744
217	0.5437150649
218	0.5429017915
219	0.5422801671
220	0.5421646837
221	0.5415767781
222	0.5410935865
223	0.5410239868
224	0.5409752862
225	0.5406579538
226	0.5402651047
227	0.5398731196
228	0.5397328325
229	0.5394432845
230	0.5394405958
231	0.5391139599
232	0.5384475361
233	0.5377852477
234	0.5377101727
235	0.5377101083
236	0.5369596428
237	0.5369298274
238	0.5364882304
239	0.5360156951
240	0.5354281564
241	0.5343590528
242	0.5336805247
243	0.533680493
244	0.5333816706
245	0.532707791
246	0.5321422203
247	0.5320934566
248	0.5315983102
249	0.5315983214
250	0.5315892476
251	0.5310224144
252	0.5308251795
253	0.5308138787
254	0.5307840511
255	0.5302509766
256	0.5297156147
257	0.5297019263
258	0.5291810153
259	0.5289754378
260	0.5285972227
261	0.5281511927
262	0.5276028109
263	0.527015718
264	0.5261497265
265	0.5254549321
266	0.5250224361
267	0.5245207667
268	0.5244999077
269	0.5239627842
270	0.5236118752
271	0.5236089051
272	0.5231879571
273	0.5225062723
274	0.5224821898
275	0.5224584359
276	0.521865927
277	0.5207831924
278	0.5202221181
279	0.5196602492
280	0.5196601968
281	0.5195647278
282	0.5194822671
283	0.5194822581
284	0.5194821712
285	0.5186048259
286	0.5181102041
287	0.5177285615
288	0.5170985484
289	0.5167705793
290	0.5166331918
291	0.5165569343
292	0.5158903797
293	0.5158904697
294	0.5156070155
295	0.5155870976
296	0.5152498822
297	0.5149292862
298	0.5143908955
299	0.5143877962
300	0.5142525039
301	0.5142271623
302	0.5133687103
303	0.5130820273
304	0.5126891105
305	0.5124578117
306	0.5121826092
307	0.5115740289
308	0.5112372228
309	0.5112371671
310	0.5105049543
311	0.5102318318
312	0.5095174688
313	0.5087813535
314	0.5085095142
315	0.5081980214
316	0.5077382225
317	0.5074357321
318	0.50743041
319	0.5071545379
320	0.5068881871
321	0.5061655803
322	0.5058170801
323	0.5051502112
324	0.5047601703
325	0.5043490851
326	0.5037159995
327	0.5037158707
328	0.5035636049
329	0.5030872208
330	0.5028289714
331	0.5022979279
332	0.502236116
333	0.5018594872
334	0.5014647148
335	0.5011744761
336	0.5007539382
337	0.4997896941
338	0.4991680366
339	0.4990463425
340	0.4983776053
341	0.4977960093
342	0.4973414265
343	0.4969330814
344	0.496246017
345	0.4957687635
346	0.4956796696
347	0.4951033899
348	0.4946470232
349	0.4941577706
350	0.4940751016
351	0.4936079402
352	0.4931574919
353	0.4930854758
354	0.4930713739
355	0.492565709
356	0.492329624
357	0.4922380167
358	0.4917380204
359	0.4913911091
360	0.4909719632
